2021-08-30 00:00:00, 560
2021-08-30 01:00:00, 589
2021-08-30 02:00:00, 567
2021-08-30 03:00:00, 507
2021-08-30 04:00:00, 425
2021-08-30 05:00:00, 333
2021-08-30 06:00:00, 257
2021-08-30 07:00:00, 217
2021-08-30 08:00:00, 220
2021-08-30 09:00:00, 263
2021-08-30 10:00:00, 337
2021-08-30 11:00:00, 423
2021-08-30 12:00:00, 492
2021-08-30 13:00:00, 522
2021-08-30 14:00:00, 509
2021-08-30 15:00:00, 457
2021-08-30 16:00:00, 384
2021-08-30 17:00:00, 303
2021-08-30 18:00:00, 231
2021-08-30 19:00:00, 191
2021-08-30 20:00:00, 192
2021-08-30 21:00:00, 232
2021-08-30 22:00:00, 308
2021-08-30 23:00:00, 403
